Cancer group/site,Year,Sex,Age group (years),Age Group,Count,"Age-specific rate
(per 100,000)"
string,number,number,string,string,number,number
Non-melanoma skin cancer (rare types),2010,Persons,55?59,44690,26,2
Non-melanoma skin cancer (rare types),2010,Persons,60?64,60 - 64,56,4.7
Non-melanoma skin cancer (rare types),2010,Persons,65?69,65 - 69,74,8.1
Non-melanoma skin cancer (rare types),2010,Persons,70?74,70 - 74,85,12.1
Non-melanoma skin cancer (rare types),2010,Persons,75?79,75 - 79,107,19.5
Non-melanoma skin cancer (rare types),2010,Persons,80?84,80 - 84,136,31.1
Non-melanoma skin cancer (rare types),2010,Persons,85?89,85 - 89,84,31.9
Non-melanoma skin cancer (rare types),2010,Persons,90+,90 - 90+,57,46.2
Non-melanoma skin cancer (rare types),2010,Persons,All ages combined,All - combined,699,3.2
Non-melanoma skin cancer (rare types),2011,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2011,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2011,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2011,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2011,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2011,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2011,Persons,30?34,30 - 34,2,0.1
Non-melanoma skin cancer (rare types),2011,Persons,35?39,35 - 39,5,0.3
Non-melanoma skin cancer (rare types),2011,Persons,40?44,40 - 44,12,0.8
Non-melanoma skin cancer (rare types),2011,Persons,45?49,45 - 49,11,0.7
Non-melanoma skin cancer (rare types),2011,Persons,50?54,50 - 54,19,1.3
Non-melanoma skin cancer (rare types),2011,Persons,55?59,55 - 59,41,3.1
Non-melanoma skin cancer (rare types),2011,Persons,60?64,44690,61,5
Non-melanoma skin cancer (rare types),2011,Persons,65?69,65 - 69,65,6.8
Non-melanoma skin cancer (rare types),2011,Persons,70?74,70 - 74,98,13.5
Non-melanoma skin cancer (rare types),2011,Persons,75?79,75 - 79,109,19.5
Non-melanoma skin cancer (rare types),2011,Persons,80?84,80 - 84,117,26.3
Non-melanoma skin cancer (rare types),2011,Persons,85?89,85 - 89,97,35.6
Non-melanoma skin cancer (rare types),2011,Persons,90+,90 - 90+,49,37.3
Non-melanoma skin cancer (rare types),2011,Persons,All ages combined,All - combined,689,3.1
Non-melanoma skin cancer (rare types),2012,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2012,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2012,Persons,10?14,44848,2,0.1
Non-melanoma skin cancer (rare types),2012,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2012,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2012,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2012,Persons,30?34,30 - 34,1,0.1
Non-melanoma skin cancer (rare types),2012,Persons,35?39,35 - 39,3,0.2
Non-melanoma skin cancer (rare types),2012,Persons,40?44,40 - 44,6,0.4
Non-melanoma skin cancer (rare types),2012,Persons,45?49,45 - 49,18,1.2
Non-melanoma skin cancer (rare types),2012,Persons,50?54,50 - 54,21,1.4
Non-melanoma skin cancer (rare types),2012,Persons,55?59,55 - 59,51,3.7
Non-melanoma skin cancer (rare types),2012,Persons,60?64,60 - 64,64,5.2
Non-melanoma skin cancer (rare types),2012,Persons,65?69,65 - 69,68,6.7
Non-melanoma skin cancer (rare types),2012,Persons,70?74,70 - 74,91,12.1
Non-melanoma skin cancer (rare types),2012,Persons,75?79,75 - 79,130,22.7
Non-melanoma skin cancer (rare types),2012,Persons,80?84,80 - 84,133,29.9
Non-melanoma skin cancer (rare types),2012,Persons,85?89,85 - 89,102,36.4
Non-melanoma skin cancer (rare types),2012,Persons,90+,90 - 90+,68,48.3
Non-melanoma skin cancer (rare types),2012,Persons,All ages combined,All - combined,764,3.4
Non-melanoma skin cancer (rare types),2013,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2013,Persons,05?09,44690,1,0.1
Non-melanoma skin cancer (rare types),2013,Persons,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2013,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2013,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2013,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2013,Persons,30?34,30 - 34,3,0.2
Non-melanoma skin cancer (rare types),2013,Persons,35?39,35 - 39,12,0.8
Non-melanoma skin cancer (rare types),2013,Persons,40?44,40 - 44,13,0.8
Non-melanoma skin cancer (rare types),2013,Persons,45?49,45 - 49,18,1.2
Non-melanoma skin cancer (rare types),2013,Persons,50?54,50 - 54,29,1.9
Non-melanoma skin cancer (rare types),2013,Persons,55?59,55 - 59,45,3.2
Non-melanoma skin cancer (rare types),2013,Persons,60?64,60 - 64,66,5.3
Non-melanoma skin cancer (rare types),2013,Persons,65?69,65 - 69,84,7.8
Non-melanoma skin cancer (rare types),2013,Persons,70?74,70 - 74,108,13.9
Non-melanoma skin cancer (rare types),2013,Persons,75?79,44690,112,19
Non-melanoma skin cancer (rare types),2013,Persons,80?84,80 - 84,169,37.9
Non-melanoma skin cancer (rare types),2013,Persons,85?89,85 - 89,110,38.2
Non-melanoma skin cancer (rare types),2013,Persons,90+,90 - 90+,78,52.1
Non-melanoma skin cancer (rare types),2013,Persons,All ages combined,All - combined,852,3.7
Non-melanoma skin cancer (rare types),2014,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2014,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2014,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2014,Persons,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2014,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2014,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2014,Persons,30?34,30 - 34,3,0.2
Non-melanoma skin cancer (rare types),2014,Persons,35?39,35 - 39,11,0.7
Non-melanoma skin cancer (rare types),2014,Persons,40?44,40 - 44,12,0.7
Non-melanoma skin cancer (rare types),2014,Persons,45?49,45 - 49,27,1.8
Non-melanoma skin cancer (rare types),2014,Persons,50?54,50 - 54,34,2.2
Non-melanoma skin cancer (rare types),2014,Persons,55?59,55 - 59,36,2.5
Non-melanoma skin cancer (rare types),2014,Persons,60?64,60 - 64,70,5.5
Non-melanoma skin cancer (rare types),2014,Persons,65?69,65 - 69,88,7.9
Non-melanoma skin cancer (rare types),2014,Persons,70?74,70 - 74,119,14.6
Non-melanoma skin cancer (rare types),2014,Persons,75?79,44690,122,20
Non-melanoma skin cancer (rare types),2014,Persons,80?84,80 - 84,126,28.2
Non-melanoma skin cancer (rare types),2014,Persons,85?89,85 - 89,128,43.4
Non-melanoma skin cancer (rare types),2014,Persons,90+,90 - 90+,70,43.9
Non-melanoma skin cancer (rare types),2014,Persons,All ages combined,All - combined,854,3.6
Non-melanoma skin cancer (rare types),2015,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2015,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2015,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2015,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2015,Persons,20?24,20 - 24,3,0.2
Non-melanoma skin cancer (rare types),2015,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2015,Persons,30?34,30 - 34,6,0.3
Non-melanoma skin cancer (rare types),2015,Persons,35?39,35 - 39,5,0.3
Non-melanoma skin cancer (rare types),2015,Persons,40?44,40 - 44,9,0.5
Non-melanoma skin cancer (rare types),2015,Persons,45?49,45 - 49,21,1.3
Non-melanoma skin cancer (rare types),2015,Persons,50?54,50 - 54,21,1.3
Non-melanoma skin cancer (rare types),2015,Persons,55?59,55 - 59,46,3.2
Non-melanoma skin cancer (rare types),2015,Persons,60?64,60 - 64,65,5.1
Non-melanoma skin cancer (rare types),2015,Persons,65?69,65 - 69,98,8.5
Non-melanoma skin cancer (rare types),2015,Persons,70?74,70 - 74,109,12.8
Non-melanoma skin cancer (rare types),2015,Persons,75?79,75 - 79,152,24.1
Non-melanoma skin cancer (rare types),2015,Persons,80?84,80 - 84,158,35.3
Non-melanoma skin cancer (rare types),2015,Persons,85?89,85 - 89,140,46.5
Non-melanoma skin cancer (rare types),2015,Persons,90+,90 - 90+,94,55.9
Non-melanoma skin cancer (rare types),2015,Persons,All ages combined,All - combined,930,3.9
Non-melanoma skin cancer (rare types),2016,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2016,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2016,Persons,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2016,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2016,Persons,20?24,20 - 24,2,0.1
Non-melanoma skin cancer (rare types),2016,Persons,25?29,25 - 29,8,0.4
Non-melanoma skin cancer (rare types),2016,Persons,30?34,30 - 34,4,0.2
Non-melanoma skin cancer (rare types),2016,Persons,35?39,35 - 39,5,0.3
Non-melanoma skin cancer (rare types),2016,Persons,40?44,40 - 44,11,0.7
Non-melanoma skin cancer (rare types),2016,Persons,45?49,45 - 49,18,1.1
Non-melanoma skin cancer (rare types),2016,Persons,50?54,50 - 54,30,1.9
Non-melanoma skin cancer (rare types),2016,Persons,55?59,55 - 59,47,3.2
Non-melanoma skin cancer (rare types),2016,Persons,60?64,60 - 64,71,5.4
Non-melanoma skin cancer (rare types),2016,Persons,65?69,65 - 69,100,8.4
Non-melanoma skin cancer (rare types),2016,Persons,70?74,70 - 74,112,12.6
Non-melanoma skin cancer (rare types),2016,Persons,75?79,44690,156,24
Non-melanoma skin cancer (rare types),2016,Persons,80?84,80 - 84,157,34.5
Non-melanoma skin cancer (rare types),2016,Persons,85?89,85 - 89,143,46.8
Non-melanoma skin cancer (rare types),2016,Persons,90+,90 - 90+,113,63.7
Non-melanoma skin cancer (rare types),2016,Persons,All ages combined,44690,978,4
Non-melanoma skin cancer (rare types),2017,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2017,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2017,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2017,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2017,Persons,20?24,20 - 24,3,0.2
Non-melanoma skin cancer (rare types),2017,Persons,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2017,Persons,30?34,30 - 34,7,0.4
Non-melanoma skin cancer (rare types),2017,Persons,35?39,35 - 39,6,0.4
Non-melanoma skin cancer (rare types),2017,Persons,40?44,40 - 44,13,0.8
Non-melanoma skin cancer (rare types),2017,Persons,45?49,45 - 49,18,1.1
Non-melanoma skin cancer (rare types),2017,Persons,50?54,50 - 54,33,2.1
Non-melanoma skin cancer (rare types),2017,Persons,55?59,55 - 59,44,2.9
Non-melanoma skin cancer (rare types),2017,Persons,60?64,60 - 64,70,5.3
Non-melanoma skin cancer (rare types),2017,Persons,65?69,65 - 69,124,10.4
Non-melanoma skin cancer (rare types),2017,Persons,70?74,70 - 74,161,16.8
Non-melanoma skin cancer (rare types),2017,Persons,75?79,75 - 79,163,24.1
Non-melanoma skin cancer (rare types),2017,Persons,80?84,80 - 84,196,41.8
Non-melanoma skin cancer (rare types),2017,Persons,85?89,85 - 89,158,51.3
Non-melanoma skin cancer (rare types),2017,Persons,90+,90 - 90+,119,64.3
Non-melanoma skin cancer (rare types),2017,Persons,All ages combined,All - combined,1116,4.5
Non-melanoma skin cancer (rare types),2018,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2018,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2018,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2018,Persons,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2018,Persons,20?24,20 - 24,3,0.2
Non-melanoma skin cancer (rare types),2018,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2018,Persons,30?34,30 - 34,6,0.3
Non-melanoma skin cancer (rare types),2018,Persons,35?39,35 - 39,10,0.6
Non-melanoma skin cancer (rare types),2018,Persons,40?44,40 - 44,10,0.6
Non-melanoma skin cancer (rare types),2018,Persons,45?49,45 - 49,15,0.9
Non-melanoma skin cancer (rare types),2018,Persons,50?54,50 - 54,36,2.4
Non-melanoma skin cancer (rare types),2018,Persons,55?59,55 - 59,45,2.9
Non-melanoma skin cancer (rare types),2018,Persons,60?64,60 - 64,57,4.2
Non-melanoma skin cancer (rare types),2018,Persons,65?69,65 - 69,93,7.7
Non-melanoma skin cancer (rare types),2018,Persons,70?74,70 - 74,139,13.7
Non-melanoma skin cancer (rare types),2018,Persons,75?79,44690,147,21
Non-melanoma skin cancer (rare types),2018,Persons,80?84,80 - 84,166,34.2
Non-melanoma skin cancer (rare types),2018,Persons,85?89,44690,161,52
Non-melanoma skin cancer (rare types),2018,Persons,90+,90 - 90+,130,67.3
Non-melanoma skin cancer (rare types),2018,Persons,All ages combined,All - combined,1020,4.1
Non-melanoma skin cancer (rare types),2019,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2019,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2019,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2019,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2019,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2019,Persons,25?29,25 - 29,4,0.2
Non-melanoma skin cancer (rare types),2019,Persons,30?34,30 - 34,6,0.3
Non-melanoma skin cancer (rare types),2019,Persons,35?39,35 - 39,8,0.4
Non-melanoma skin cancer (rare types),2019,Persons,40?44,40 - 44,12,0.8
Non-melanoma skin cancer (rare types),2019,Persons,45?49,45 - 49,20,1.2
Non-melanoma skin cancer (rare types),2019,Persons,50?54,50 - 54,36,2.3
Non-melanoma skin cancer (rare types),2019,Persons,55?59,55 - 59,51,3.3
Non-melanoma skin cancer (rare types),2019,Persons,60?64,60 - 64,73,5.2
Non-melanoma skin cancer (rare types),2019,Persons,65?69,44690,111,9
Non-melanoma skin cancer (rare types),2019,Persons,70?74,70 - 74,153,14.5
Non-melanoma skin cancer (rare types),2019,Persons,75?79,75 - 79,175,23.8
Non-melanoma skin cancer (rare types),2019,Persons,80?84,80 - 84,191,37.8
Non-melanoma skin cancer (rare types),2019,Persons,85?89,85 - 89,163,51.9
Non-melanoma skin cancer (rare types),2019,Persons,90+,90 - 90+,143,71.1
Non-melanoma skin cancer (rare types),2019,Persons,All ages combined,All - combined,1150,4.5
Non-melanoma skin cancer (rare types),2020,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2020,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2020,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2020,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2020,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2020,Persons,25?29,25 - 29,4,0.2
Non-melanoma skin cancer (rare types),2020,Persons,30?34,30 - 34,6,0.3
Non-melanoma skin cancer (rare types),2020,Persons,35?39,35 - 39,8,0.4
Non-melanoma skin cancer (rare types),2020,Persons,40?44,40 - 44,12,0.7
Non-melanoma skin cancer (rare types),2020,Persons,45?49,45 - 49,20,1.2
Non-melanoma skin cancer (rare types),2020,Persons,50?54,50 - 54,38,2.4
Non-melanoma skin cancer (rare types),2020,Persons,55?59,55 - 59,52,3.3
Non-melanoma skin cancer (rare types),2020,Persons,60?64,60 - 64,76,5.3
Non-melanoma skin cancer (rare types),2020,Persons,65?69,65 - 69,116,9.2
Non-melanoma skin cancer (rare types),2020,Persons,70?74,70 - 74,161,14.6
Non-melanoma skin cancer (rare types),2020,Persons,75?79,75 - 79,189,24.4
Non-melanoma skin cancer (rare types),2020,Persons,80?84,80 - 84,205,38.8
Non-melanoma skin cancer (rare types),2020,Persons,85?89,85 - 89,171,53.7
Non-melanoma skin cancer (rare types),2020,Persons,90+,90 - 90+,157,74.4
Non-melanoma skin cancer (rare types),2020,Persons,All ages combined,All - combined,1219,4.7
Non-melanoma skin cancer (rare types),2021,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2021,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2021,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2021,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2021,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2021,Persons,25?29,25 - 29,4,0.2
Non-melanoma skin cancer (rare types),2021,Persons,30?34,30 - 34,7,0.4
Non-melanoma skin cancer (rare types),2021,Persons,35?39,35 - 39,8,0.4
Non-melanoma skin cancer (rare types),2021,Persons,40?44,40 - 44,12,0.7
Non-melanoma skin cancer (rare types),2021,Persons,45?49,45 - 49,20,1.2
Non-melanoma skin cancer (rare types),2021,Persons,50?54,50 - 54,41,2.6
Non-melanoma skin cancer (rare types),2021,Persons,55?59,55 - 59,52,3.4
Non-melanoma skin cancer (rare types),2021,Persons,60?64,60 - 64,78,5.3
Non-melanoma skin cancer (rare types),2021,Persons,65?69,65 - 69,120,9.4
Non-melanoma skin cancer (rare types),2021,Persons,70?74,70 - 74,167,14.7
Non-melanoma skin cancer (rare types),2021,Persons,75?79,75 - 79,202,24.8
Non-melanoma skin cancer (rare types),2021,Persons,80?84,80 - 84,218,39.7
Non-melanoma skin cancer (rare types),2021,Persons,85?89,85 - 89,180,55.1
Non-melanoma skin cancer (rare types),2021,Persons,90+,90 - 90+,175,78.8
Non-melanoma skin cancer (rare types),2021,Persons,All ages combined,44690,1288,5
Non-melanoma skin cancer (rare types),2022,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2022,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2022,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2022,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2022,Persons,20?24,20 - 24,4,0.2
Non-melanoma skin cancer (rare types),2022,Persons,25?29,25 - 29,4,0.2
Non-melanoma skin cancer (rare types),2022,Persons,30?34,30 - 34,7,0.4
Non-melanoma skin cancer (rare types),2022,Persons,35?39,35 - 39,8,0.4
Non-melanoma skin cancer (rare types),2022,Persons,40?44,40 - 44,13,0.8
Non-melanoma skin cancer (rare types),2022,Persons,45?49,45 - 49,19,1.2
Non-melanoma skin cancer (rare types),2022,Persons,50?54,50 - 54,43,2.6
Non-melanoma skin cancer (rare types),2022,Persons,55?59,55 - 59,52,3.4
Non-melanoma skin cancer (rare types),2022,Persons,60?64,60 - 64,81,5.4
Non-melanoma skin cancer (rare types),2022,Persons,65?69,65 - 69,125,9.6
Non-melanoma skin cancer (rare types),2022,Persons,70?74,70 - 74,168,14.7
Non-melanoma skin cancer (rare types),2022,Persons,75?79,75 - 79,221,25.2
Non-melanoma skin cancer (rare types),2022,Persons,80?84,80 - 84,232,40.6
Non-melanoma skin cancer (rare types),2022,Persons,85?89,85 - 89,192,56.8
Non-melanoma skin cancer (rare types),2022,Persons,90+,90 - 90+,181,81.7
Non-melanoma skin cancer (rare types),2022,Persons,All ages combined,All - combined,1350,5.2
